Protect,Aar
Baby,Doom
Son,Doom
Daughter,Doom bu jigeen
Grey,Doomu-taal
Start,Door
Walk,Dox
Tourist,Doxandeem
Pedestrian,Doxkat
Enough,Doy
Strange,Doy waar
Enter,Dugal
Put,Dugal
Deposit,Dugal xaalis
Life,Dund
Customs,Duwaan
Tap,Dóor
Tap water,Dóor ndox
Pregnant,Emb
Admit,Entare
Spinach,epinaar
Grocery,Episeri
Petrol,Esans
Spoke,Eskale
Band-Aid,Esparadara
Specialist,Espesiyalis
Floor,Estaas
Petrol station,Estasionu esans
Stadium,Estat
Statue,Estati
Steak,Estek
Studio,Estijo
Building,Etaas
Fall,ete
Dead,Faatu
Die,Faatu
Dawn,Fajar
Dentist,Fajnkatu ben
Bill,Faktiir
Where,Fan
Boyfriend,Far
Often,Faral di am
Pharmacy,Farmasi
Horse,Fas
Forget,Fatte
Off,Fay
Pay,Fay
Dance,Fecc
Dancing,Fecc
Nightclub,Feccukaay
Fever,Feebar
Sick,Feebar
Full,Fees
Crowded,Fees del
Cloudy,Fees dell ak niir
Fill,Feesal
Celebration,Feete
Air conditioning,Feexal ngelaw
Diving,Feey
Swim,Feey
Surf,Feeyu palaans
Flower,Feler
Lie,Fen
Liar,Fenkat
Art,Fent
Artist,Fentkat
Strawberry,Ferees
Flour,Ferin
Gun,Fetal
Here,Fii
There,Fii
Movie,Filmu
Fridge,Firigo
Refrigerator,Firigo
Fruit,Firiwi
Cent,fistin
Fun,Fo
Cancel,Fomb
Clean,Fomp
Hug,Foon
Kiss,Foon
Kiss,Foon
Wash cloth,Foot
Shape,Form
Cheese,Foromaas
Border,Foronceer
Joke,Fowantu
Bakery,Fuur
Lime,Fuur
Oven,Fuur
Hurt,Gaan
Train station,Gaaru otoraay
Gas,Gaas
Gauze,Gaas
Fast,Gaaw
Quick,Gaaw
Speed,Gaawaay
ATM,GAB
Purse,Gafaga
Glass,Galaas
Ice,Galaas
Frost,Galaase
Gloves,Gan
Winner,Ganaa
Back,Ganaaw
Back,Ganaaw
Behind,Ganaaw
Day after tomorrow,Ganaaw suba
Earn,gane
Win,Gane
Gram,Garaam
Park,Garaas
Station,Garaas
Dangerous,Garaaw
Serious,Garaaw
Medicine,Garab
Tree,Garab
Guaranteed,Garanti
Shortage,Gatt
Ocean,Geej
River,Geej
Sea,Geej
Sleepy,Gementu
Mouth,Gemmin
Best,Gen
Nearest,Gen a jege
Exit,Genn
Get off,Genn
Go out,Genn
Dream,Gent
Bacon,Gerees
Peanut,Gerte
Scientist,Gestukatu xam-xam
Eyes,Get
Chicken,Ginaar
Rear,Ginaaw
See,Gis
Guitar,Gitaar
Itch,Goom
Mother-in-law,Goro bu jigeen
City,Gox
Quarter,Gox-goxaan
Long,Gudd
Evening,Guddi
Night,Guddi
Tonight,Guddi
Overnight,Guddi gi yepp
Blind,Gumbe
Man,Góor
Bring,Indi
Island,Island
Too,Itam
Thank,Jaajefěl
Snake,Jaan
Experience,Jaar-jaar
History,Jaar-jaar
Ring,Jaaro
Worried,Jaaxle
Deal,Jaay
Sell,Jaay
Turn,Jadd
Difficult,Jafe
Rare,Jafe
Rare,Jafe
Negative,Jagadi
Coat,Jaget
Jacket,Jaget
Pass,Jall
Private,Jambur
Peace,Jamm
Season,Jamono
Emergency,Jamp
Urgent,Jamp
Learn,Jang
Read,Jang
Teacher,Jangalekat
Miss,Janx
Busy,Japp
Reservation,Japplu
Weather,Jaww
Embarrassed,Jaxasoo
Pumpkin,Jaxato
Complimentary,Jayaate
Step,Jeego
Try,Jeem
End,Jeex
Finish,Jeexal
Operation,Jef
Operator,Jefkat
Close,Jege
Near,Jege
Next to,Jege
Husband,Jeker
Take,Jel
Take photos,Jel ay nataal
Photographer,Jelkatu nataal
Fish,Jen
Buy,Jend
Trade,Jend ak jaay
Female,Jigeen
Bribe,Jigeen bu sey
Lesbian,Jigeen góor
Jeep,Jiip
Mouse,Jinax
Get,Jot
Deliver,Joxe
Give,Joxe
Recomment,Joxewaat xalaat
Direct,Jub
Straight,Jub
Unfair,Jubadi
Direction,Jubluwaay
Prayer,Julli
Contact lens solution,Jumtukaay linetu kontak
Steep,Jup xocc
Produce,Jur
Sales tax,Juutib njaay
Pepper,Kaani
Bus,Kaar
Present,Kado
Coffee,Kafe
Pub,Kafe
Van,Kamiyon
Camp,Kan
When,Kan
Who,Kan
Rat,Kana
Duck,Kanaara
Face,Kanam
Jar,Karaaf
Pencil,Karayon
Padlock,Karnaar
Notebook,Karne
Carrot,Karot
Map,Kart
ID card,Kart dentite
Cards,Kart yi
Credit card,Kartu  bank
Boarding pass,Kartu bato
Postcard,Kartu post
Helmet,Kask
Jail,Kaso
Prison,Kaso
Pan,Kasorol
Cathedral,Katedaral
Uphill,Kaw montaan
Socks,Kawaas
Hair,Kawar
High,Kawe
Single,Kenn
Someone,Kenn
House,Ker
Shade,Ker
Ice cream,Kereem galaas
Alone,Kese
Only,Kese
Cashier,Kesiyeer
Paper,Keyit
Receipt,Keyitu firnde
Toilet paper,Keyitu wanak
Newspaper,Keyitu yenekaay
He,Ki
Leader,Kilifa
Conditioner,Kilimatiser
Custom,Kiliyaan
Kilogram,Kilogaraam
Kilometer,Kilomeetar
First-aid kit,Kitu paj yi njekk
Cocoa,Koko
Cocktail,Koktel
Glue,Kol
Order,Komande
Trade,Komers
Zucchini,Konkombar
Concert,Konseer
Happy,Kontaan
That,Kooku
Comb,Koom
Cotton,Koton
Guilty,Koupaabal
Corner,Krneer
Innocent,Ku xamul dara
Teaspoon,Kudu ataaya
Team,Kureel
Cross,Kuruwa
Electricity,Kuuran
Diaper,Kuus
Ask,Laaj
Ask,Laaj
Question,Laaj
Baggage claim,Laajug bagaas
Touch,Laal
Lace,Laase
Before,Laata
Priest,Labbe
Burn,Lakk
Language,Lakk
Toast,Lakk
Sunburn,Lakkub naaj
Bed,Lal
Traffic light,Lampu tali
What,Lan
Lens,Lanti
Story,Leeb
Now,Leegi
Present,Leegi
Soon,Leegi
Wool,Leen
Light,Leer
Light,Leer
Light,Leeraay
Details,Leeral
Information,Leeral
Vegetable,Lejum
Eat,Lekk
Meal,Lekk
Vegeterian,Lekk katu nax
Restaurant,Lekkukaay
Honey,Lem
Dark,Lendem
Something,Lenn
Butterfly,Lepaalep
All,Lepp
Bitter,Lewet
After,Li ci topp
Next,Lici topp
Job,Liggeey
Work,Liggeey
Business,Liggeeyal
Service,Liggeeyal
Paperwork,Liggeeyu nguur
It,lii
Lemonade,Liminaat
Glasses,Linet
Sunglasses,Linetu naaj
Lemon,Linom
Luxury,Lix
Future,Liy new
Very,Lool
Hospital,Lopitaal
Arm,Loxo
Hand,Loxo
Many,Lu bari
Necessity,Lu manta nakk
About,Lu neel
Few,Lu neew
Everything,Lu nekk
Why,Lu tax
Sensible,Lu xel nangu
Unusual,Ludul faral di am
Hire,Luwe
Rent,Luwe
Grandfather,Maam bu góor
Grandmother,Maam bu jigeen
Adult,Mag
Brother,Mag
Grow,magg
Old,Magget
Make-up,Makiaas
Animal,Mala
Me,Man
Star sign,Mandarga biddiw
Drunk,Mandi
Sign,Mangarga
Magazine,Mangasiin
Department store,Mangasiinu departama
Liquor store,Mangasiinu sangara
Thirsty,Mar
Marriage,Mariaas
Wedding,Mariyaas
Market,Marse
Shopping center,Marse
Machine,Masiin
Washing machine,Masiinu foot
Mattress,Matlaa
Bite,Matt
Swimsuit,Mayo de bee
Pig,Mbaam
Shoulder,Mbagg
Garbage,Mbaliit
Hat,Mbaxana
Surprise,Mbeteel
Sexism,Mbiri awra
Foggy,Mbooyo
Clothing,Mbubu
Pillowcase,Mbubu ndiegenaay
Raincoat,Mbubu taw
Bread,Mburu
Pain,Mburu
Toaster,Mburu
Cockroach,Mbóot
Yellow,Mbóq
Furniture,Mebel
Meter,Meetar
Color,Melo
Nature,Melokaan
Can,Men
Can,Men
Possible,Men a nekk
Impossible,Menta nekk
Angry,Mer
Bored,Mer
Boring,Merlu
Regret,Metitlu
Stomach ache,Metitu biir
Subway,Metoro
Painful,Metti
Terrible,Metti
Sore,Mettit
Painkiller,Mettit but tar
Headache,Mettitu bopp
Midday,Midi
Dizzy,Miir
Microwave,Mikro-ond
Millimeter,Milimeetar
Military,Militeer
Carpenter,Minise
Midnight,Miniwi
Music,Misig
Museum,Misse
Bike,Mobilet
Modern,Modem
Hill,Montaan
Mountain,Montaan
Watch,Montar
Clock,Montor
Alarm clock,Montoru yeetekaay
Her,Moom
She,Moom
Free,Moom sa bopp
Motel,Motel
Motorbike,Moto
Motorboat,Moto-bato
Crash,Moxone
Last,Mujj
Last,Mujj
Never,Mukk
Disaster,Musiba
Scarf,Musoor
Handkerchief,Musuwaar
Mustard,Mutaar
Cat,Muus
Printer,Móolukaay
Sun,Naaj
Sunny,Naaje
Jaw,naam
Drink,Naan
Drink,Naan
Drink,Naan
Snack,Naan
Two,Naar
Double,Naaral
Second,naarel
Second,naarel
Double bed,Naari lal
Twice,Naari-yoon
Pair,naaroo
Both,Naaryepp
How much,Naata
Awful,Naaw
Fly,Naaw
Cow,Nak
How,Naka
Miss,Nakk
Food,Nam
Try,nam
Ingredient,Nama-nama
Understand,Nand
Agree,Nangu
Napkin,Napp
Tablecloth,Napp
Awful,Naqari
Lie,Nar
Photo,Nataal
Camera,Nataalukaay
Centimeter,Nattukaay bu ndaw
Sew,Naw
Summer,Nawet
Grass,Nax
Herb,Nax
Rip-off,Nax
Foul,Naxari
Complain,Naxtu
Appointment,Ndaje
Meeting,Ndaje
Car,Ndamaar
Slow,Ndank
Slowly,Ndank-ndank
Little,Ndaw
Young,Ndaw
Because,Ndax
Pottery,Ndefarug pot
Breakfast,Ndekki
Mother,Ndey
Pillow,Ndiegenaay
Help,Ndimbal
Student,Ndongo
Poor,Ndool
Poverty,Ndool
Water,Ndox
Hot water,Ndox mu tang
Similar,Nduroo
Spoiled,Neb
Cookie,Nebbiit
Bedroom,Neeg
Room,Neeg
Double room,Neegu naari nit
Empty,Neen
Seasickness,Neer
Snow,Nees
Less,Neew
Swelling,Neewi
Shortage,Neewle
Cool,Neex
Wonderful,Neex lool
Gift,Neexal
Be,Nekk
Sleep,Nelaw
Egg,Nen
Net,Net
Third,Netteel
Come,New
Cake,Ngato
Cake,Ngato
Air,Ngelaw
Wind,Ngelaw
Government,Nguur
Cloud,Niir
Number,Nimero
Room number,Nimero neeg
Person,Nit
Everyone,Nit ku bekk
People,Nit ni
Sale,Njaay
Family,Njabóot
Reading,Njang
Education,Njangale
Value,Njarin
Cost,Njeg
Fare,Njeg
Price,Njeg
First,Njekk
Past,Njekk
Main,NJelbeen
Weekend,Njextalu ayu-bis
President,Njiit
Tall,Njool
Mistake,Njuumte
Bug,Njuute
Love,Nob
Rabbit,Nomboor
They,Noom
Winter,Noor
Breathe,Nooyi
Comfortable,Nooyi
Break,Nopalu
Ear,Nopp
Chat up,Noppi
Ready,Noppi
Raw,Nor
Christmas,Nowel
We,Nun
Black,Nuul
Oxygen,Oksisen
Knee,Oom
Prescription,Ordinaas
Computer,Ordinater
Laptop,Ordinater portaabal
Ordinary,Ordineer
Original,Orisinaal
Orchestra,Orkees
Euro,Oro
Hotel,Otel
Train,Otoraay
Highway,Otorut
Knife,Paaka
Packet,Paket
Dish,Palaa
Planet,Palaanet
Plate,Palaat
Window,Palanteer
Plastic,Palastik
Basket,Pane
Umbrella,Parasol
Perfume,Parfon
Park,Park
Party,Parti
Passport,Passpoor
Pie,Pat
Toothpaste,Pat
Potato,Pataas
Pound,Pawun
Payment,Payoor
Wage,Payoor
Pedal,Pedaal
Tweezers,Pees
Weigh,Peese
East,Penku
Painting,Pentiir
Painter,Pentiirkat
Permission,Permision
Bird,Picc
Pure,Piir
Tissues,Piis
Pill,Pilil
Politics,Pilitik
Plum,Pirin
Swiming pool,Pisiin
Pool,Pisin
Trail,Pist
Pigeon,Pittax
Game,Po
Game,Po
Police,Poliis
Police station,Poliis
Pollution,Polisiyon
Stove,Poll
Frying pan,Polle
Garbage can,Pollu mbaliit
Apple,Pom
Pump,Pomp
Bridge,Pon
Tire,Pono
Leg,Pooc
Tobacco,Poon
Port,Poor
Pocket,Poos
Profit,Porofi
Post office,Post
Pot,Pot
Powder,Puder
Fork,Purset
Spoon,Purset
Needle,Puso
Throat,Put
Push,Puus
Stroller,Puus-puus
Wheelchair,Puus-puus
Pear,Puwaar
Wrist,Puwane
Cream,Radi
Beautiful,Rafet
Handsome,Rafet
Nice,Rafet
Pretty,Rafet
Peach,Rafetaay
Afraid,Ragal
Radiator,Rajater
Radio,Rajo
Sister,Rakk wala mag bu jigeen
Identification,Rannee
Race,Rawante
Cleaning,Raxas
Wash,Raxas
Murder,Ray nit
Rule,Reegal
Dinner,Reer
Lost,Reer
Lose,Reeral
Smile,Reetaan
Funny,Reetaanlu
Country,Reew
Raspberry,Resee
Diet,Resim
Big,Rey
Fat,Rey
Rib,Rib
Plug,Roof
Pink,Roos
Airplane,Roplaan
Plane,Roplaan
Shy,Rus
Lipstick,Rusa lewar
Your,Sa
Always,Saa su nekk
Soap,Saabu
Fry,Saaf
Injury,Saaga
Handbag,Saagu loxo
Backpack,Saagu mbagg
Bag,saak
Room,Saal
Waiting room,Saal
Plug,Saan
Truck,Saanse
Nurse,Saas faam
Ring,Sab
Drums,Sabar yi
Cheat,Sacc
Rob,Sacc
Steal,Sacc
Thief,Sacckat
Tasty,Saf
Sweet,Saf suuker
Fire,Safara
Campfire,Safara kan
Salad,Salaat
My,Sama
Shampoo,Sampoyee
Wash,Sang
Beer,Sangara
Wine,Sangara
Bath,Sangu
Shower,Sangu
Bathing suit,Sangukaay
Bathroom,Sangukaay
Name,Sant
Account,Saq
Bank account,Saqu  bank
Towel,Sarbet
Garden,Sardee
Kindergarten,Sardee dafaa
Carriage,Sareet
Castle,Sato
Brave,Sawar
Plant,Saxal
Cold,Sedd
Share,Seddale
Share,Seddale
Their,Seen
Expensive,Seer
Tight,Seere
Look for,Seet
Watch,Seetaan
Visit,Seeti
Visit,Seeti
Mirror,Seetu
Twins,Seex
Grave,Seg
Sexy,Seksi
Wheel,Senkal
Seatbelt,Sentiiru kaaranga
Cereal,Sereyaal
Cherry,Seriis
Waiter,Serwer
Thin,Sew
Cough,Sexet
Marry,Sey
Cigar,Sigaar
Cigarette,Sigaaret
Juice,Sii
Cider,Siider
Chair,Siis
Famous,Siiw
Popular,Siiw
Sweater,Siletmaa
Underwear,Siletmaa
Cemetery,Simiceer
Minute,Simili
Gym,Simnastik
Signature,Sinaatiir
Signature,Sine
Theater,Sinemaa
Supermarket,Sipermarse
Skirt,Sipp
Scissors,Siso
Bucket,Siwo
Rum,Soj
Brown,Sokola
Chocolate,Sokola
Wear,Sol
Salmon,Somoo
Sauna,Sona
Candle,Sondel
Uncomfortable,Soof
Sauce,Soos
Milk,Soow
West,Soowu
Change,Soppi
Orange,Sorans
Far,Sore
Remote,Sore
Orange,Sorãns
Need,Soxla
Wife,Soxna
Mrs./Ms,Soxna/Janq
Morning,Suba
Tomorrow,Suba
Bra,Succee-ngooS
If,Sudee
Our,Sunu
Lettuce,Supome
Soup,Supp
Below,Suuf
Bottom,Suuf
Down,Suuf
Land,Suuf
Sand,Suuf
Downhill,Suufu montaan
Sugar,Suuker
Silk,Suwa
Wish,Suwete
Have a cold,Sój
Tired,Sónn
Prefer,Taamu
Date,Taarix
Grandson,Taaw bu góor
Granddaughter,Taaw bu jigeen
Build,Tabax
Builder,Tabaxkat
Table,Tablo
Painting,Tablo aar
Wave,Tagatoo
Jogging,Taggat-yaram
On,takk
Package,Takk
Jewelry,takkaay
Road,Tali
Traffic,Tali
Tomato,Tamaate
Heat,Tang
Hot,Tang
Warm,Tang
Heater,Tangalukaay
Temperature,Tangoor
Temperature,Tangooru yaram
Foot,Tank
Choose,Tann
Rug,Tapi
Tram,Taramwey
Delay,Tarde
Rain,Taw
Stop,Taxaw
Today,Tay
Lazy,Tayal
Spring,Teb
Early,Teel
Book,Teere
Quiet,Teey
Beach,Tefes
Bet,Teg
Play,Tegg
Recycle,Teggaraat
Close,Tej
Clothing store,Tej mangasiin
Closed,Teju
Translate,Tekki
Translation,Tekki
Television,Tele
TV,Tele
Telephone,Telefon
Cell phone,Telefon portaabal
Mobile phone,Telefon portaabal
Stamp,Tembar
Jumper,Temkat
Stop,Tere
Program,Teriin
Bus station,Terminis
Thermometer,Termometar
Toe,Testenn
Deaf,Tex
Mute,Tex
Arrest,Teye
Shoot,Tiire
Sad,Tiis
Dirty,Tilim
Shirt,Tiset
T-shirt,Tiset
Play,Tiyaatar
Deodorant,Tocamikukaay
Class,Toftale
Order,Toftale
Queue,Toftale
Mountain range,Toftale montaan
Cook,Togg
Chef,Toggkat
Point,Tomb
Answer,Tontu
Sit,Toog
Stay,Toog
Seat,Toogu
Farm,Tool
Humid,Tooy
Wet,Tooy
Follow,Topp
Review,Topp
Track,Topp
Track,Topp
Babysitter,Toppatookatu doom
Care for,Toppatoor
Smoke,Tox
Pants,Tubey
Travel,Tukki
Trip,Tukki bu ndaw
Lips,Tun yi
Name,Tur
Zipper,Tuutalukaay
Little,Tuuti
Small,Tuuti
Tiny,Tuuti
Shut,Těj
Open,Ubbi
Bottle opener,Ubbikaayu biteel
Bottle opener,Ubbikaayu biteel
Prepare,Waajal
Parents,Waa-jur yi
Kitchen,Waan
Yes,Waaw
Perfect,Waaw-kay
But,Waaye
Sunset,Waccub naaj
Or,Wala
Public toilet,Wanagu mboolo
Toilet,Wanak
Count,Wanni
Shave,Wat
Haircut,Watt
Razor,Watukaay
Say,Wax
Talk,Wax
Tell,Wax
Hour,Waxtu
Time,Waxtu
Full-time,Waxtu bu mat
Sing,Way
Song,Way
Member,Way-bokk
Singer,Waykat
Passenger,Way-tukki
Coins,Weccet
Change,Wecci
Change,Weccit
Month,Weer
White,Weex
Suitcase,Weliis
Bicycle,Welo
Metal,Wen
Tour,Werele
Round,Wergel
Health,Wergu-yaram
Cycle,Werngel
Tower,Werngel
Luck,Werseg
Chance,Wersek
Green,Wert
Changin room,Westiyeer
Beside,Wet
Side,Wet
Coast,Wetu gej
Village,Wilaas
Virus,Wiris
Purple,Wiyolet
Show,Wone
Show,Wone
Call,Woote
Call,Woote
Invite,Woote
Vote,Woote
Fragile,Woyof
Gold,Wurus
Different,Wuute
Opposite,Wuute
Trust,Wóolu
Safe,Wóor
Dry,Wów
Dry,Wówal
Part,Xaaj
Seperate,Xaajale
Part-time,Xaaju-waxtu
Watermelon,Xaal
Cash,Xaalis
Money,Xaalis
Silver,Xaalis
Cash,Xaalis bu teew
Wait,Xaar
Dog,Xaj
Guess,Xalaat
Opinion,Xalaat
Reason,Xalaat
Think,Xalaat
Child,Xale
Boy,Xale bu góor
Girl,Xale bu jigeen
Children,Xale yi
Know,Xam
Stupid,Xamadi
Science,Xam-xam
Performance,Xaranaay
Friend,Xarit
Pull,Xecc
Rock,Xeer
Stone,Xeer
Type,Xeet
Fight,Xeex
War,Xeex
Nausea,Xel mu teey
Page,Xet
Smell,Xet
Maybe,Xeyna
Hungry,Xiif
Red,Xonq
Look,Xool
View,Xool
Nut,Xoox
Salt,Xorom
Pressure,Xoxotal
Argue,Xuloo
Heart,Xól
Deep,Xóot
Mr.,Yaaram
Flat,Yaatu
Large,Yaatu
Thick,Yaatu
Wide,Yaatu
Ancient,Yagg
Antique,Yagg
in a hurry,Yakkamti
God,Yalla
Exactly,Yam-kepp
Meat,Yapp
Beef,Yappu  nak
Pork,Yappu mbaam
Broken,Yaqu
Ankle,Yaqu tank
Ruins,Yaqu-yaqu
Body,Yaram
You,Yaw
You,Yaw
Muscle,Yax
Climb,Yeeg
Sunrise,Yeegup naaj
Wake up,Yeewu
Feel,Yeg
News,Yegle
Feelings,Yeg-yeg yi
More,Yeneen
Some,Yenn
Dress,Yere
Cheap,Yomb
Mosquito,Yoo
Aisle,Yoon
Law,Yoon
Route,Yoon
Street,Yoon
Path,Yoon bu ndaw
Airline,Yoon roplaan
Mainroad,Yoonu njelbeen
Several,Yu bari
Shout,Yuuxu
Carry,Yóbbu
Easy,Yómb
Simple,Yómb
Send,Yónnee
Zoo,Zoo
Return,Ňibbi
